danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,time_signature,id,uri
0.656,0.721,8,-5.064,1,0.0364,0.277,0.000139,0.188,0.883,83.95,audio_features,4,52itZ0w0CydihB2JCZEIft,spotify:track:52itZ0w0CydihB2JCZEIft
0.494,0.899,11,-5.081,0,0.165,0.599,3.43e-05,0.111,0.559,79.895,audio_features,4,6GQK4G5o60E8YA18DGpAzv,spotify:track:6GQK4G5o60E8YA18DGpAzv
0.461,0.481,0,-6.389,0,0.0327,0.789,1.01e-06,0.127,0.262,199.807,audio_features,4,2b2HutIDmoeBnnKRWDLAtV,spotify:track:2b2HutIDmoeBnnKRWDLAtV
0.468,0.91,11,-3.057,0,0.051,0.12,0.000304,0.271,0.694,163.842,audio_features,4,18YHbIhrleUkKKj2DvEp79,spotify:track:18YHbIhrleUkKKj2DvEp79
0.684,0.771,8,-5.353,1,0.0307,0.548,0.0,0.112,0.539,119.982,audio_features,4,0dLbrlAVPPjpPqnYfmJsWk,spotify:track:0dLbrlAVPPjpPqnYfmJsWk
0.624,0.906,11,-4.436,0,0.0514,0.0978,0.0,0.0963,0.632,129.99,audio_features,4,0fCQRUbk8LIQTdQYGNtGyv,spotify:track:0fCQRUbk8LIQTdQYGNtGyv
0.681,0.906,11,-6.157,0,0.0737,0.0658,0.0,0.11,0.406,131.996,audio_features,4,0kYBzFJ5a2Jozi6cI4y9Bp,spotify:track:0kYBzFJ5a2Jozi6cI4y9Bp
0.548,0.737,0,-7.865,1,0.0386,0.458,0.00806,0.091,0.412,119.961,audio_features,4,5KNuHsIeFtD0oukst77hBi,spotify:track:5KNuHsIeFtD0oukst77hBi
0.714,0.821,7,-6.824,0,0.0792,0.0273,1.1e-06,0.315,0.728,89.973,audio_features,4,04iZiKjYTdVVjsPR0MDBwQ,spotify:track:04iZiKjYTdVVjsPR0MDBwQ
0.644,0.423,11,-8.702,0,0.0324,0.464,0.0,0.11,0.509,131.903,audio_features,4,4r8JqkhpTb5tzSKKHnVJIJ,spotify:track:4r8JqkhpTb5tzSKKHnVJIJ
0.637,0.825,11,-6.612,1,0.0816,0.352,0.0,0.389,0.836,92.029,audio_features,4,5fKzdTKPV9vT4WEjEdxXrt,spotify:track:5fKzdTKPV9vT4WEjEdxXrt
0.602,0.867,2,-4.745,0,0.114,0.229,1.05e-05,0.0806,0.698,91.993,audio_features,4,6UEhNvccAc4OyEDJYB5brb,spotify:track:6UEhNvccAc4OyEDJYB5brb
0.59,0.859,2,-5.005,0,0.0416,0.633,0.0,0.286,0.634,149.966,audio_features,4,3Kl8p2PxVf8eAayLwTxOIm,spotify:track:3Kl8p2PxVf8eAayLwTxOIm
0.257,0.583,7,-8.185,1,0.0429,0.603,0.000289,0.146,0.217,160.127,audio_features,4,0zQa7QXLpUZfrrsWbgDZll,spotify:track:0zQa7QXLpUZfrrsWbgDZll
0.702,0.86,7,-3.969,1,0.0345,0.361,1.33e-06,0.133,0.829,120.042,audio_features,4,4iFPsNzNV7V9KJgcOX7TEO,spotify:track:4iFPsNzNV7V9KJgcOX7TEO
0.574,0.841,4,-4.449,1,0.0948,0.399,1e-06,0.205,0.927,83.706,audio_features,4,2iZeKe5avjtKVmjfSFkpxd,spotify:track:2iZeKe5avjtKVmjfSFkpxd
0.657,0.86,0,-9.033,0,0.0896,0.171,0.0,0.0604,0.698,173.93,audio_features,4,3l2xjwDkalxtheSsIoCUfF,spotify:track:3l2xjwDkalxtheSsIoCUfF
0.56,0.604,8,-8.732,1,0.0866,0.315,1.12e-06,0.176,0.75,84.784,audio_features,4,2LcXJP95e4HKydTZ2mYfrx,spotify:track:2LcXJP95e4HKydTZ2mYfrx
0.768,0.873,9,-3.213,0,0.103,0.287,1.76e-05,0.114,0.845,102.001,audio_features,4,0dQiyqHUpnMPmHtk535VAY,spotify:track:0dQiyqHUpnMPmHtk535VAY
