danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,time_signature,id,uri
0.369,0.467,5,-9.018,1,0.0274,0.0194,0.46,0.109,0.174,94.473,audio_features,4,3AVrVz5rK8Hrqo9YGiVGN5,spotify:track:3AVrVz5rK8Hrqo9YGiVGN5
0.438,0.47,5,-10.94,1,0.0243,0.357,0.821,0.113,0.282,92.653,audio_features,4,0EUw3ZK8Ti14t6R6FOP8Ty,spotify:track:0EUw3ZK8Ti14t6R6FOP8Ty
0.509,0.331,4,-14.083,1,0.0267,0.272,0.136,0.114,0.0957,96.848,audio_features,4,3GhsBdS9ulPK3KCdwHRPhG,spotify:track:3GhsBdS9ulPK3KCdwHRPhG
0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,audio_features,3,4xqrdfXkTW4T0RauPLv3WA,spotify:track:4xqrdfXkTW4T0RauPLv3WA
0.402,0.151,4,-14.228,0,0.04,0.907,0.0,0.0941,0.489,144.069,audio_features,4,7gGBgh0bVxHPgZjA505bo9,spotify:track:7gGBgh0bVxHPgZjA505bo9
0.546,0.468,5,-8.167,1,0.0287,0.153,0.00257,0.321,0.416,73.372,audio_features,4,7pegxVesMmE2qK0o58xoFG,spotify:track:7pegxVesMmE2qK0o58xoFG
0.672,0.52,8,-7.747,1,0.0353,0.859,0.0,0.115,0.37,120.001,audio_features,4,5O2P9iiztwhomNh8xkR9lJ,spotify:track:5O2P9iiztwhomNh8xkR9lJ
0.233,0.15,1,-11.736,1,0.0336,0.982,0.36,0.154,0.0875,143.887,audio_features,3,5PzWVmfzu7rePAuFkxPQf0,spotify:track:5PzWVmfzu7rePAuFkxPQf0
0.668,0.727,7,-6.55,0,0.027,0.514,1.9e-05,0.1,0.939,139.991,audio_features,4,3pCt2wRdBDa2kCisIdHWgF,spotify:track:3pCt2wRdBDa2kCisIdHWgF
0.559,0.473,5,-7.712,1,0.0279,0.446,0.00141,0.154,0.397,121.227,audio_features,4,4IRHwIZHzlHT1FQpRa5RdE,spotify:track:4IRHwIZHzlHT1FQpRa5RdE
0.462,0.945,2,-1.887,1,0.0399,0.0536,0.746,0.11,0.477,165.153,audio_features,4,6hIOunhsLUT66KQgZV5dMD,spotify:track:6hIOunhsLUT66KQgZV5dMD
0.604,0.466,0,-10.093,1,0.0315,0.649,0.0334,0.093,0.499,120.045,audio_features,4,0qXP5fMhxGzxALOkXYUxfP,spotify:track:0qXP5fMhxGzxALOkXYUxfP
0.445,0.181,9,-13.073,1,0.0267,0.989,0.658,0.103,0.116,79.929,audio_features,4,76V5f8O63L6ZvQGRhfutti,spotify:track:76V5f8O63L6ZvQGRhfutti
0.571,0.0274,9,-20.274,0,0.0649,0.948,6.43e-06,0.322,0.087,124.209,audio_features,3,0gOz9JUXsaKVzLTSmFDtdo,spotify:track:0gOz9JUXsaKVzLTSmFDtdo
0.443,0.419,7,-7.975,1,0.0321,0.633,0.00183,0.404,0.0719,132.204,audio_features,4,3MwHZDGwAR8RjZZBriBqmx,spotify:track:3MwHZDGwAR8RjZZBriBqmx
0.441,0.561,11,-6.017,0,0.0357,0.00953,0.00432,0.553,0.178,128.345,audio_features,4,39pMuJ3ShxDqb7bBIAXSYG,spotify:track:39pMuJ3ShxDqb7bBIAXSYG
0.775,0.735,5,-5.585,0,0.0369,0.0363,0.131,0.103,0.172,125.025,audio_features,4,0d2F9wcykuZ1QzDMcI0Mf0,spotify:track:0d2F9wcykuZ1QzDMcI0Mf0
