danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,time_signature,id,uri
0.0685,0.00342,0,-37.156,1,0.0418,0.99,0.91,0.106,0.0581,73.644,audio_features,1,0CMYUXTTTmI6Lwc0opH2XG,spotify:track:0CMYUXTTTmI6Lwc0opH2XG
0.111,0.0185,0,-32.335,1,0.0424,0.957,0.94,0.087,0.0459,76.153,audio_features,3,07UDTaRYJAsIhUZTyZSUzM,spotify:track:07UDTaRYJAsIhUZTyZSUzM
0.0802,0.00761,2,-32.863,1,0.0497,0.975,0.9,0.112,0.0623,172.676,audio_features,4,6KU6lJNEwpHSB8EdI6klNN,spotify:track:6KU6lJNEwpHSB8EdI6klNN
0.219,0.00316,6,-36.511,1,0.0489,0.995,0.854,0.0932,0.106,70.115,audio_features,4,0btOwM3TAHRfPPpLGiCUOR,spotify:track:0btOwM3TAHRfPPpLGiCUOR
0.19,0.00196,5,-37.911,1,0.0503,0.989,0.926,0.119,0.186,68.487,audio_features,5,1SucXU3xTOCyBAAqE22E8B,spotify:track:1SucXU3xTOCyBAAqE22E8B
0.163,0.00723,2,-38.761,1,0.0436,0.991,0.953,0.109,0.038,130.966,audio_features,3,1WHrCfYujnEhApstu2ppFo,spotify:track:1WHrCfYujnEhApstu2ppFo
0.062,0.00364,0,-31.944,1,0.0532,0.891,0.957,0.111,0.0313,72.373,audio_features,4,0cJOITxJRoFwuMkP4H6v4O,spotify:track:0cJOITxJRoFwuMkP4H6v4O
0.146,0.00161,1,-37.631,0,0.0461,0.991,0.94,0.129,0.119,72.359,audio_features,3,4INn3PNrEaJ46wiMnjXLq6,spotify:track:4INn3PNrEaJ46wiMnjXLq6
0.175,0.00245,6,-39.149,1,0.0501,0.964,0.863,0.105,0.0445,79.233,audio_features,3,1b6zd9iiSYGSCz5tYW14l6,spotify:track:1b6zd9iiSYGSCz5tYW14l6
0.151,0.00304,0,-36.169,1,0.051,0.885,0.852,0.114,0.0385,69.949,audio_features,1,479TAluzixIctz5AiwnrA1,spotify:track:479TAluzixIctz5AiwnrA1
0.106,0.00137,1,-35.196,1,0.043,0.995,0.776,0.193,0.069,77.522,audio_features,3,6Y8v8sSvSEGSZi5tkW5Nhw,spotify:track:6Y8v8sSvSEGSZi5tkW5Nhw
0.175,0.00327,5,-37.357,1,0.048,0.981,0.884,0.0987,0.051,66.529,audio_features,4,1heAYXQYiL5e2VBRClCaif,spotify:track:1heAYXQYiL5e2VBRClCaif
0.102,0.0333,3,-34.177,1,0.0476,0.797,0.927,0.111,0.0591,89.605,audio_features,4,5LEHlRPjGcZ5RdagAwXpHS,spotify:track:5LEHlRPjGcZ5RdagAwXpHS
0.0786,0.0152,2,-30.165,1,0.0397,0.978,0.865,0.07,0.0599,177.472,audio_features,5,0KOenusM2ayoQfGrhBf5Q9,spotify:track:0KOenusM2ayoQfGrhBf5Q9
0.138,0.00536,0,-36.076,1,0.0464,0.979,0.651,0.11,0.0375,142.226,audio_features,3,7HTqClPkU89EhgJi2CO3G5,spotify:track:7HTqClPkU89EhgJi2CO3G5
0.235,0.00391,7,-31.311,1,0.0398,0.994,0.857,0.109,0.0525,70.449,audio_features,1,157498zKslcWTRJGqzx3ad,spotify:track:157498zKslcWTRJGqzx3ad
0.0919,0.00548,5,-37.811,1,0.0401,0.978,0.871,0.0915,0.0828,86.361,audio_features,5,0tw6S8qTrvkqASUMxtqP3h,spotify:track:0tw6S8qTrvkqASUMxtqP3h
0.15,0.0113,0,-39.987,1,0.043,0.994,0.637,0.0959,0.0452,137.343,audio_features,4,7bpnfbTaoPGzCdvyRAEW0E,spotify:track:7bpnfbTaoPGzCdvyRAEW0E
0.175,0.00422,3,-32.903,1,0.0479,0.952,0.922,0.109,0.093,74.275,audio_features,3,0NbAwRGkpCrY8FZsH6Cf3H,spotify:track:0NbAwRGkpCrY8FZsH6Cf3H
0.139,0.00529,8,-36.745,1,0.0377,0.959,0.716,0.122,0.146,141.395,audio_features,3,5MN8kJAw4b4lgNlz1KO32M,spotify:track:5MN8kJAw4b4lgNlz1KO32M
