danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,time_signature,id,uri
0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,audio_features,4,7MAibcTli4IisCtbHKrGMh,spotify:track:7MAibcTli4IisCtbHKrGMh
0.578,0.574,2,-6.209,1,0.0454,0.196,0.0,0.083,0.301,174.152,audio_features,4,0kN8xEmgMW9mh7UmDYHlJP,spotify:track:0kN8xEmgMW9mh7UmDYHlJP
0.659,0.291,2,-8.275,0,0.0348,0.405,0.0,0.0771,0.406,119.829,audio_features,3,4frLb7nWtsz2ymBE6k2GRP,spotify:track:4frLb7nWtsz2ymBE6k2GRP
0.782,0.289,2,-6.288,0,0.0407,0.596,0.0,0.105,0.401,111.598,audio_features,3,7mzG5rxRNv9g4vcJFilsmu,spotify:track:7mzG5rxRNv9g4vcJFilsmu
0.589,0.528,11,-7.81,0,0.12,0.16,0.00112,0.354,0.483,164.92,audio_features,3,34vCWXqZ0NkVJEiBlbJHoA,spotify:track:34vCWXqZ0NkVJEiBlbJHoA
0.526,0.125,0,-17.817,0,0.0673,0.924,0.0446,0.11,0.265,172.916,audio_features,3,6wC0AuzGLMEZUkWWKorAvn,spotify:track:6wC0AuzGLMEZUkWWKorAvn
0.558,0.522,5,-7.964,1,0.0339,0.0739,0.0,0.196,0.29,139.86,audio_features,4,2pdrLnkx4bwwzht5QGvjsn,spotify:track:2pdrLnkx4bwwzht5QGvjsn
0.744,0.325,3,-9.503,0,0.0642,0.358,1e-06,0.102,0.128,110.063,audio_features,4,1RDLbX9L2G4zDqxXCaMJo5,spotify:track:1RDLbX9L2G4zDqxXCaMJo5
0.532,0.577,1,-9.313,1,0.0352,0.00253,0.0437,0.234,0.0397,131.922,audio_features,4,6utQlfLooYsUkq5xUg3vxt,spotify:track:6utQlfLooYsUkq5xUg3vxt
0.747,0.494,3,-7.957,0,0.141,0.393,0.0,0.0982,0.624,76.006,audio_features,4,2Ee9amLUslOwgoJWZEpSSD,spotify:track:2Ee9amLUslOwgoJWZEpSSD
0.228,0.427,0,-8.739,0,0.0363,0.752,0.0167,0.592,0.192,180.345,audio_features,4,0JzG1wJuB4v9UPkSE7LMXi,spotify:track:0JzG1wJuB4v9UPkSE7LMXi
0.571,0.443,0,-6.76,1,0.0451,0.3,6.95e-06,0.101,0.621,143.923,audio_features,3,1Qu24vc8msUVLcMZWa4k1x,spotify:track:1Qu24vc8msUVLcMZWa4k1x
0.756,0.449,1,-3.487,1,0.0358,0.253,0.0037,0.186,0.286,138.003,audio_features,4,1f1xG9yxV624uLc7m72QLN,spotify:track:1f1xG9yxV624uLc7m72QLN
